paper_id,total_valid_chars,proof_chars,proof_density,display_chars,display_density
AOS_2023_0001,154808,3735,0.0241,25449,0.1644
AOS_2023_0002,261906,84793,0.3238,63154,0.2411
AOS_2023_0003,85891,27667,0.3221,23083,0.2687
AOS_2023_0004,281805,92450,0.3281,56429,0.2002
AOS_2023_0006,373777,98166,0.2626,90491,0.2421
AOS_2023_0007,73332,5243,0.0715,14793,0.2017
AOS_2023_0008,171218,20,0.0001,10487,0.0612
AOS_2023_0009,161430,29108,0.1803,138346,0.857
AOS_2023_0010,279353,102340,0.3663,77048,0.2758
AOS_2023_0011,249744,135782,0.5437,79576,0.3186
AOS_2023_0018,204581,46828,0.2289,29487,0.1441
AOS_2023_0023,274087,46515,0.1697,39042,0.1424
AOS_2023_0027,142751,14858,0.1041,16132,0.113
AOS_2023_0028,203306,0,0.0,27263,0.1341
AOS_2023_0030,267595,111714,0.4175,100059,0.3739
AOS_2023_0032,178753,14386,0.0805,15950,0.0892
AOS_2023_0034,218357,130009,0.5954,63624,0.2914
AOS_2023_0035,236342,118405,0.501,77641,0.3285
AOS_2023_0037,146827,51518,0.3509,42970,0.2927
AOS_2023_0041,326917,43195,0.1321,103451,0.3164
AOS_2023_0049,249293,19407,0.0778,73797,0.296
AOS_2023_0050,87974,0,0.0,8339,0.0948
AOS_2023_0053,192025,90569,0.4717,47036,0.2449
AOS_2023_0054,165952,21984,0.1325,47396,0.2856
AOS_2023_0055,186327,57416,0.3081,30535,0.1639
AOS_2023_0062,221061,40106,0.1814,57369,0.2595
AOS_2023_0063,229745,113841,0.4955,62420,0.2717
AOS_2023_0065,182342,114808,0.6296,75270,0.4128
AOS_2023_0077,212903,85368,0.401,13701,0.0644
AOS_2023_0083,259456,110944,0.4276,63398,0.2443
AOS_2023_0093,282745,101817,0.3601,44649,0.1579
AOS_2023_0125,304767,94444,0.3099,188974,0.6201
AOS_2023_0126,151679,9731,0.0642,15812,0.1042
AOS_2023_0128,170920,26917,0.1575,121682,0.7119
AOS_2023_0129,266342,0,0.0,129208,0.4851
AOS_2023_0130,86862,5197,0.0598,16953,0.1952
AOS_2023_0131,187422,51682,0.2758,35829,0.1912
AOS_2023_0132,244493,128014,0.5236,81944,0.3352
AOS_2023_0133,197761,91746,0.4639,33040,0.1671
AOS_2023_0135,204460,67618,0.3307,59968,0.2933
AOS_2023_0143,498962,77848,0.156,143906,0.2884
AOS_2023_0150,327508,104422,0.3188,21568,0.0659
AOS_2023_0151,113891,32105,0.2819,32186,0.2826
AOS_2023_0152,290243,154006,0.5306,136855,0.4715
AOS_2023_0153,231444,105576,0.4562,96753,0.418
AOS_2023_0154,209960,119759,0.5704,66685,0.3176
AOS_2023_0163,196149,29600,0.1509,27268,0.139
AOS_2023_0176,193600,77339,0.3995,98419,0.5084
AOS_2023_0177,425253,134642,0.3166,67124,0.1578
AOS_2023_0178,164904,86662,0.5255,82228,0.4986
AOS_2023_0179,126798,31856,0.2512,17594,0.1388
AOS_2023_0180,231426,63993,0.2765,39390,0.1702
AOS_2023_0181,66988,13678,0.2042,8056,0.1203
AOS_2023_0182,193323,81390,0.421,45537,0.2355
AOS_2023_0183,320260,179941,0.5619,96405,0.301
AOS_2023_0184,136771,6783,0.0496,43298,0.3166
AOS_2023_0186,233228,47554,0.2039,44845,0.1923
AOS_2023_0188,250960,27646,0.1102,128209,0.5109
AOS_2023_0189,110675,20854,0.1884,11408,0.1031
AOS_2023_0195,278785,56038,0.201,30928,0.1109
AOS_2023_0196,143680,12905,0.0898,41649,0.2899
AOS_2023_0197,339773,193128,0.5684,134634,0.3962
AOS_2023_0201,151272,70682,0.4673,26755,0.1769
AOS_2023_0202,195773,117661,0.601,71733,0.3664
AOS_2023_0208,244658,66352,0.2712,44632,0.1824
AOS_2023_0209,1246310,479860,0.385,320372,0.2571
AOS_2023_0220,161835,65604,0.4054,79224,0.4895
AOS_2023_0222,245112,29599,0.1208,47539,0.1939
AOS_2023_0223,312924,196550,0.6281,115906,0.3704
AOS_2023_0227,143735,13769,0.0958,33293,0.2316
AOS_2023_0247,155110,67398,0.4345,35669,0.23
AOS_2023_0248,83280,18380,0.2207,25060,0.3009
AOS_2023_0249,460965,111131,0.2411,96531,0.2094
AOS_2023_0251,141309,76114,0.5386,41981,0.2971
AOS_2023_0256,214345,30593,0.1427,51875,0.242
AOS_2023_0264,237597,90838,0.3823,88811,0.3738
AOS_2023_0266,158023,73823,0.4672,50665,0.3206
AOS_2024_0013,232288,15268,0.0657,83435,0.3592
AOS_2024_0014,216385,77199,0.3568,46238,0.2137
AOS_2024_0015,252257,11629,0.0461,76853,0.3047
AOS_2024_0016,102202,11864,0.1161,14262,0.1395
AOS_2024_0017,208327,49928,0.2397,55986,0.2687
AOS_2024_0019,478779,228181,0.4766,183376,0.383
AOS_2024_0021,168403,77912,0.4627,47793,0.2838
AOS_2024_0022,282297,109733,0.3887,57473,0.2036
AOS_2024_0024,342135,58672,0.1715,95651,0.2796
