paper_id,total_valid_chars,exact_math_chars,exact_math_density,broad_math_chars,broad_math_density
AOS_2023_0001,157660,3735,0.0237,43953,0.2788
AOS_2023_0002,315609,86978,0.2756,102551,0.3249
AOS_2023_0003,86678,27667,0.3192,35926,0.4145
AOS_2023_0004,298013,95456,0.3203,108902,0.3654
AOS_2023_0006,402534,100568,0.2498,182753,0.454
AOS_2023_0007,81830,5243,0.0641,25616,0.313
AOS_2023_0008,198711,20,0.0001,62600,0.315
AOS_2023_0009,180569,31545,0.1747,136734,0.7572
AOS_2023_0010,386248,144880,0.3751,239105,0.619
AOS_2023_0011,251469,135782,0.54,121278,0.4823
AOS_2023_0018,227271,50160,0.2207,136430,0.6003
AOS_2023_0023,285224,50539,0.1772,90328,0.3167
AOS_2023_0027,153999,16845,0.1094,38159,0.2478
AOS_2023_0028,283738,0,0,67147,0.2367
AOS_2023_0030,277632,113490,0.4088,153907,0.5544
AOS_2023_0032,259798,22505,0.0866,131330,0.5055
AOS_2023_0034,220157,130073,0.5908,97551,0.4431
AOS_2023_0035,237969,118405,0.4976,117559,0.494
AOS_2023_0037,146950,51518,0.3506,60560,0.4121
AOS_2023_0041,356876,44740,0.1254,182055,0.5101
AOS_2023_0049,282236,22418,0.0794,129583,0.4591
AOS_2023_0050,95922,0,0,15289,0.1594
AOS_2023_0053,201576,92024,0.4565,67060,0.3327
AOS_2023_0054,205986,25872,0.1256,100802,0.4894
AOS_2023_0055,190221,57424,0.3019,63459,0.3336
AOS_2023_0062,221176,40106,0.1813,83413,0.3771
AOS_2023_0063,232575,113841,0.4895,101153,0.4349
AOS_2023_0065,184811,114925,0.6219,98569,0.5334
AOS_2023_0077,214497,85914,0.4005,41328,0.1927
AOS_2023_0083,265336,111906,0.4218,113148,0.4264
AOS_2023_0093,299126,107158,0.3582,97061,0.3245
AOS_2023_0125,469031,156211,0.3331,339068,0.7229
AOS_2023_0126,171785,12845,0.0748,103724,0.6038
AOS_2023_0128,170920,26917,0.1575,50898,0.2978
AOS_2023_0129,295530,0,0,220736,0.7469
AOS_2023_0130,88630,5197,0.0586,25821,0.2913
AOS_2023_0131,194938,52235,0.268,71374,0.3661
AOS_2023_0132,281722,146052,0.5184,158410,0.5623
AOS_2023_0133,201544,91746,0.4552,64469,0.3199
AOS_2023_0135,213778,67903,0.3176,86282,0.4036
AOS_2023_0143,600660,82212,0.1369,250220,0.4166
AOS_2023_0150,377478,117744,0.3119,79610,0.2109
AOS_2023_0151,123105,62181,0.5051,80232,0.6517
AOS_2023_0152,336042,183602,0.5464,242927,0.7229
AOS_2023_0153,232816,105760,0.4543,122450,0.526
AOS_2023_0154,210624,119795,0.5688,95118,0.4516
AOS_2023_0163,216774,32833,0.1515,56288,0.2597
AOS_2023_0176,225267,94602,0.42,132412,0.5878
AOS_2023_0177,432475,136570,0.3158,152357,0.3523
AOS_2023_0178,188305,95397,0.5066,103281,0.5485
AOS_2023_0179,165576,40792,0.2464,95090,0.5743
AOS_2023_0180,236575,64022,0.2706,71415,0.3019
AOS_2023_0181,67642,13745,0.2032,19792,0.2926
AOS_2023_0182,217715,91408,0.4199,87958,0.404
AOS_2023_0183,337200,184800,0.548,200468,0.5945
AOS_2023_0184,147754,7586,0.0513,92024,0.6228
AOS_2023_0186,243511,47926,0.1968,80172,0.3292
AOS_2023_0188,377805,42117,0.1115,149720,0.3963
AOS_2023_0189,156887,30368,0.1936,39202,0.2499
AOS_2023_0195,280295,56246,0.2007,64058,0.2285
AOS_2023_0196,157068,13648,0.0869,54920,0.3497
AOS_2023_0197,362444,199614,0.5507,182095,0.5024
AOS_2023_0201,153858,70699,0.4595,53634,0.3486
AOS_2023_0202,202782,118947,0.5866,98693,0.4867
AOS_2023_0208,293984,69058,0.2349,81214,0.2763
AOS_2023_0209,1529872,868497,0.5677,1179552,0.771
AOS_2023_0220,168675,65617,0.389,99678,0.5909
AOS_2023_0222,245317,29599,0.1207,97948,0.3993
AOS_2023_0223,328849,210187,0.6392,194395,0.5911
AOS_2023_0227,146622,13769,0.0939,57283,0.3907
AOS_2023_0247,181903,86045,0.473,93751,0.5154
AOS_2023_0248,83940,18380,0.219,38097,0.4539
AOS_2023_0249,478222,113829,0.238,384023,0.803
AOS_2023_0251,153304,82001,0.5349,70066,0.457
AOS_2023_0256,223403,30767,0.1377,84793,0.3796
AOS_2023_0264,238296,90849,0.3812,111011,0.4659
AOS_2023_0266,167455,74190,0.443,76011,0.4539
AOS_2024_0013,239661,15822,0.066,120176,0.5014
AOS_2024_0014,219726,77199,0.3513,75849,0.3452
AOS_2024_0015,267344,12752,0.0477,122205,0.4571
AOS_2024_0016,110513,11864,0.1074,27945,0.2529
AOS_2024_0017,877166,211542,0.2412,664287,0.7573
AOS_2024_0019,480902,228435,0.475,233354,0.4852
AOS_2024_0021,176929,78012,0.4409,78257,0.4423
AOS_2024_0022,495694,182151,0.3675,304579,0.6144
AOS_2024_0024,428284,79431,0.1855,276003,0.6444
AOS_2024_0025,251189,21116,0.0841,191044,0.7606
AOS_2024_0031,581348,40657,0.0699,297067,0.511
AOS_2024_0038,264457,36300,0.1373,107117,0.405
AOS_2024_0040,155766,45076,0.2894,43215,0.2774
AOS_2024_0042,124555,24736,0.1986,36862,0.2959
AOS_2024_0043,158775,66787,0.4206,78687,0.4956
AOS_2024_0045,842576,84973,0.1008,579442,0.6877
AOS_2024_0046,256876,33056,0.1287,87583,0.341
