paper_id,openalex_work_id,journal,publication_year,publication_date,title,doi,cited_by_count,citation_percentile,keywords,keyword_count,openalex_topics,topic_count,primary_topic,primary_topic_count,author_count,author_names,author_ids,institution_names,num_institutions,has_source_code
AOS_2026_001,https://openalex.org/W7133490177,The Annals of Statistics,2026,2026/2/1,Optimality of approximate message passing for spiked matrix models with rotationally invariant noise,https://doi.org/10.1214/25-aos2575,1,0.99149606,Eigenvalues and eigenvectors | Invariant (physics) | Iterated function | Iterative method | Leverage (statistics) | Matrix (chemical analysis) | Message passing | Nonlinear system | Signal processing,9,Blind Source Separation Techniques | Direction-of-Arrival Estimation Techniques | Sparse and Compressive Sensing Techniques,3,Sparse and Compressive Sensing Techniques,1,3,Rishabh Dudeja | Songbin Liu | Junjie Ma,https://openalex.org/A5061942819 | https://openalex.org/A5128064322 | https://openalex.org/A5100687838,Academy of Mathematics and Systems Science | Chinese Academy of Sciences | University of Wisconsin–Madison,3,0
AOS_2026_002,https://openalex.org/W7133480432,The Annals of Statistics,2026,2026/2/1,Solving the Poisson equation using coupled Markov chains,https://doi.org/10.1214/25-aos2564,0,0.43675676,Delta method | Ergodic theory | Estimator | Markov chain | Markov chain Monte Carlo | Markov chain mixing time | Markov property | Moment (physics) | Poisson distribution | Variance (accounting),10,Markov Chains and Monte Carlo Methods | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Markov Chains and Monte Carlo Methods,1,4,Randal Douc | Pierre E. Jacob | Anthony Lee | Dootika Vats,https://openalex.org/A5080327103 | https://openalex.org/A5126814212 | https://openalex.org/A5126933367 | https://openalex.org/A5126833480,Indian Institute of Technology Kanpur | Institut Polytechnique de Paris | Systems Analytics (United States) | University of Bristol,4,1
AOS_2026_003,https://openalex.org/W7133484678,The Annals of Statistics,2026,2026/2/1,Semiparametric Bernstein–von Mises phenomenon via Isotonized Posterior in Wicksell’s problem,https://doi.org/10.1214/25-aos2571,0,0.93719695,Boundary (topology) | Constraint (computer-aided design) | Flow (mathematics) | Phenomenon | Set (abstract data type),5,Advanced Algebra and Logic | Approximation Theory and Sequence Spaces | Bayesian Methods and Mixture Models,3,Approximation Theory and Sequence Spaces,1,3,Francesco Gili | Geurt Jongbloed | Aad W Van der Vaart,https://openalex.org/A5093047731 | https://openalex.org/A5030731755 | https://openalex.org/A5053208927,Delft University of Technology | Institute of Applied Mathematics,2,1
AOS_2026_004,https://openalex.org/W7133485528,The Annals of Statistics,2026,2026/2/1,Optimal and exact recovery on the general nonuniform Hypergraph Stochastic Block Model,https://doi.org/10.1214/25-aos2524,0,0.84205765,Block (permutation group theory) | Class (philosophy) | Hypergraph | Stochastic block model | Stochastic process,5,Risk and Portfolio Optimization | Sparse and Compressive Sensing Techniques | Tensor decomposition and applications,3,Risk and Portfolio Optimization,1,2,Ioana Dumitriu | Hai-Xiao Wang,https://openalex.org/A5031997473 | https://openalex.org/A5128122617,University of California San Diego,1,0
AOS_2026_005,https://openalex.org/W7133489590,The Annals of Statistics,2026,2026/2/1,Neural networks generalize on low complexity data,https://doi.org/10.1214/25-aos2570,0,0.93227612,Artificial neural network | Computational complexity theory | Feed forward | Feedforward neural network | Minimum description length | Primality test | Prime (order theory) | Simple (philosophy),8,Neural Networks and Applications | Stochastic Gradient Optimization Techniques | Topic Modeling,3,Neural Networks and Applications,1,2,Sourav Chatterjee | Timothy Sudijono,https://openalex.org/A5025655425 | https://openalex.org/A5021983113,Stanford University,1,1
AOS_2026_006,https://openalex.org/W7133503785,The Annals of Statistics,2026,2026/2/1,Pseudo-Labeling for kernel ridge regression under covariate shift,https://doi.org/10.1214/25-aos2566,0,0.93433751,Covariate | Estimator | Feature selection | Imputation (statistics) | Kernel (algebra) | Kernel regression | Mean squared error | Minimax | Regression,9,Face and Expression Recognition | Face recognition and analysis | Statistical Methods and Inference,3,Face and Expression Recognition,1,1,Kaizheng Wang,https://openalex.org/A5128049515,Columbia University,1,1
AOS_2026_007,https://openalex.org/W7133506839,The Annals of Statistics,2026,2026/2/1,Multivariate root-n-consistent smoothing parameter-free matching estimators and estimators of inverse density weighted expectations,https://doi.org/10.1214/25-aos2568,0,0.94112214,Deconvolution | Estimator | Matching (statistics) | Multivariate statistics | Nonparametric regression | Nonparametric statistics | Parametric statistics | Polynomial regression | Smoothing | Smoothness,10,Advanced Causal Inference Techniques | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Hajo Holzmann | Alexander Meister,https://openalex.org/A5024834862 | https://openalex.org/A5125757268,Philipps University of Marburg | University of Rostock,2,1
AOS_2026_008,https://openalex.org/W7133507664,The Annals of Statistics,2026,2026/2/1,Communication-efficient and distributed-oracle estimation for high-dimensional quantile regression,https://doi.org/10.1214/25-aos2573,0,0.94135304,Convergence (economics) | Estimator | Inference | Quantile | Quantile regression | Rate of convergence | Statistic | Statistical inference | Test statistic,9,Distributed Sensor Networks and Detection Algorithms | Statistical Methods and Inference | Stochastic Gradient Optimization Techniques,3,Statistical Methods and Inference,1,4,Songshan Yang | Yifan Gu | Hanfang Yang | XuMing He,https://openalex.org/A5041344728 | https://openalex.org/A5128108902 | https://openalex.org/A5084917712 | https://openalex.org/A5112230763,Renmin University of China | Washington University in St. Louis,2,0
AOS_2026_009,https://openalex.org/W7133514423,The Annals of Statistics,2026,2026/2/1,Scalable inference in functional linear regression with streaming data,https://doi.org/10.1214/25-aos2549,0,0.93708536,Inference | Linear model | Linear regression | Regression | Regression analysis | Scalability,6,Gaussian Processes and Bayesian Inference | Statistical Methods and Inference | Stochastic Gradient Optimization Techniques,3,Gaussian Processes and Bayesian Inference,1,6,Jinhan Xie | Enze Shi | Peijun Sang | Zuofeng Shang | Bei Jiang | Linglong Kong,https://openalex.org/A5128127168 | https://openalex.org/A5128037349 | https://openalex.org/A5069578775 | https://openalex.org/A5071967317 | https://openalex.org/A5128049029 | https://openalex.org/A5107907131,New Jersey Institute of Technology | University of Alberta | University of Waterloo | Yunnan University,4,1
AOS_2026_010,https://openalex.org/W7133526904,The Annals of Statistics,2026,2026/2/1,Poisson empirical Bayes estimation: When does g-modeling beat f-modeling in theory (and in practice)?,https://doi.org/10.1214/25-aos2560,0,0.94343108,Bayes estimator | Bayes' theorem | Bayesian probability | Beat (acoustics) | Poisson distribution,5,Bayesian Methods and Mixture Models | Psychometric Methodologies and Testing | Statistical Methods and Bayesian Inference,3,Statistical Methods and Bayesian Inference,1,2,Y. Shen | Yihong Wu,https://openalex.org/A5015153679 | https://openalex.org/A5004732452,Carnegie Mellon University | Yale University,2,0
