paper_id,title,journal_short,publication_year,institution_names,primary_topic,cited_by_count,citation_percentile,total_valid_chars,exact_math_chars,exact_math_density,broad_math_chars,broad_math_density
AOS_2023_0001,Conformal prediction beyond exchangeability,AOS,2023,Carnegie Mellon University | Stanford University | University of Chicago,Statistical Methods and Inference,162,99.927454,157660,3735,0.0237,43953,0.2788
AOS_2023_0002,Testing for outliers with conformal p-values,AOS,2023,"Stanford University | Technion – Israel Institute of Technology | University of California, Berkeley | University of Southern California",Advanced Statistical Process Monitoring,69,99.124297,315609,86978,0.2756,102551,0.3249
AOS_2023_0003,Orthogonal statistical learning,AOS,2023,Massachusetts Institute of Technology | Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | Stanford University,Statistical Methods and Inference,55,79.640501,86678,27667,0.3192,35926,0.4145
AOS_2023_0004,Bridging factor and sparse models,AOS,2023,"Princeton University | University of California, Davis | University of Illinois Urbana-Champaign",Spatial and Panel Data Analysis,44,99.197567,298013,95456,0.3203,108902,0.3654
AOS_2023_0006,The Lasso with general Gaussian designs with applications to hypothesis testing,AOS,2023,"Stanford University | University of California, Berkeley | University of Pennsylvania",Statistical Methods and Inference,29,98.543891,402534,100568,0.2498,182753,0.454
AOS_2023_0007,Inference for low-rank models,AOS,2023,Brandeis University | Massachusetts Institute of Technology | Rutgers Sexual and Reproductive Health and Rights | University of Chicago,Sparse and Compressive Sensing Techniques,24,95.53171,81830,5243,0.0641,25616,0.313
AOS_2023_0008,Single index Fréchet regression,AOS,2023,"University of California, Davis",Functional Brain Connectivity Studies,19,92.581762,198711,20,0.0001,62600,0.315
AOS_2023_0009,Optimally tackling covariate shift in RKHS-based nonparametric regression,AOS,2023,"Massachusetts Institute of Technology | University of California, Berkeley | University of Chicago",Statistical Methods and Inference,17,97.158708,180569,31545,0.1747,136734,0.7572
AOS_2023_0010,Differentially private inference via noisy optimization,AOS,2023,Columbia University | Institute of Mathematical Statistics | University of Cambridge,Statistical Methods and Inference,15,94.522684,386248,144880,0.3751,239105,0.619
AOS_2023_0011,Universality of regularized regression estimators in high dimensions,AOS,2023,Rutgers Sexual and Reproductive Health and Rights | University of Chicago,Statistical Methods and Inference,15,96.269043,251469,135782,0.54,121278,0.4823
AOS_2025_0012,"A statistical framework of watermarks for large language models: Pivot, detection efficiency and optimal rules",AOS,2025,California University of Pennsylvania,Topic Modeling,15,99.518252,282822,76410,0.2702,83230,0.2943
AOS_2024_0013,Rank and factor loadings estimation in time series tensor factor model by pre-averaging,AOS,2024,London School of Economics and Political Science,Tensor decomposition and applications,13,95.104895,239661,15822,0.066,120176,0.5014
AOS_2024_0014,Skewed Bernstein–von Mises theorem and skew-modal approximations,AOS,2024,Bocconi University | Decision Sciences (United States),Rough Sets and Fuzzy Logic,11,94.289534,219726,77199,0.3513,75849,0.3452
AOS_2024_0015,Transfer learning for contextual multi-armed bandits,AOS,2024,University of Michigan–Ann Arbor | University of Pennsylvania,Advanced Bandit Algorithms Research,10,95.340994,267344,12752,0.0477,122205,0.4571
AOS_2024_0016,Transfer learning for functional mean estimation: Phase transition and adaptive algorithms,AOS,2024,University of Pennsylvania,Domain Adaptation and Few-Shot Learning,10,93.560398,110513,11864,0.1074,27945,0.2529
AOS_2024_0017,Testing network correlation efficiently via counting trees,AOS,2024,Duke University | Georgia Institute of Technology | University of Pennsylvania | Yale University,Complex Network Analysis Techniques,10,91.665155,877166,211542,0.2412,664287,0.7573
AOS_2023_0018,Learning low-dimensional nonlinear structures from high-dimensional noisy data: An integral operator approach,AOS,2023,"Stanford University | University of California, Davis",Fractional Differential Equations Solutions,7,81.670955,227271,50160,0.2207,136430,0.6003
AOS_2024_0019,Statistical-computational trade-offs in tensor PCA and related problems via communication complexity,AOS,2024,Columbia University | University of Wisconsin–Madison,Tensor decomposition and applications,7,88.982036,480902,228435,0.475,233354,0.4852
AOS_2024_0021,Optimal parameter estimation for linear SPDEs from multiple measurements,AOS,2024,Aarhus University | Bielefeld University | Institute of Mathematical Statistics | University of Cambridge,Fault Detection and Control Systems,6,87.438821,176929,78012,0.4409,78257,0.4423
AOS_2024_0022,Sharp multiple testing boundary for sparse sequences,AOS,2024,"Institute of Mathematical Statistics | Laboratoire de Probabilités, Statistique et Modélisation | Sorbonne Université | University of Cambridge",Statistical Methods in Clinical Trials,5,93.848254,495694,182151,0.3675,304579,0.6144
AOS_2023_0023,Optimal change-point detection and localization,AOS,2023,"Centre Inria de Saclay | Centre de Recherche en Économie et Statistique | Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement | Institut de recherche mathématique de Rennes | Laboratoire Jean-Alexandre Dieudonné | Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie | Université Côte d'Azur | Université Rennes 2 | Université de Rennes | École Nationale d'Administration",Statistical Methods and Inference,41,98.1707,285224,50539,0.1772,90328,0.3167
AOS_2024_0024,Plugin estimation of smooth optimal transport maps,AOS,2024,Carnegie Mellon University | Courant Institute of Mathematical Sciences,Markov Chains and Monte Carlo Methods,31,99.463186,428284,79431,0.1855,276003,0.6444
AOS_2024_0025,The right complexity measure in locally private estimation: It is not the Fisher information,AOS,2024,Science North | Stanford University,Privacy-Preserving Technologies in Data,30,85.46171700000001,251189,21116,0.0841,191044,0.7606
AOS_2023_0027,ScreeNOT: Exact MSE-optimal singular value thresholding in correlated noise,AOS,2023,Hebrew University of Jerusalem | Stanford University,Random Matrices and Applications,23,97.954416,153999,16845,0.1094,38159,0.2478
AOS_2023_0028,Grouped variable selection with discrete optimization: Computational and statistical perspectives,AOS,2023,Google (United States) | Massachusetts Institute of Technology | University of Sydney,Statistical Methods and Inference,19,96.784249,283738,0,0.0,67147,0.2367
AOS_2023_0030,Adaptive and robust multi-task learning,AOS,2023,Columbia University | New York University,Domain Adaptation and Few-Shot Learning,18,92.674326,277632,113490,0.4088,153907,0.5544
AOS_2024_0031,Settling the sample complexity of model-based offline reinforcement learning,AOS,2024,California Institute of Technology | Carnegie Mellon University | Chinese University of Hong Kong | University of Pennsylvania,Advanced Bandit Algorithms Research,18,97.837956,581348,40657,0.0699,297067,0.511
AOS_2023_0032,Nonlinear network autoregression,AOS,2023,University of Cyprus | Vrije Universiteit Amsterdam,Statistical Methods and Inference,16,96.584961,259798,22505,0.0866,131330,0.5055
AOS_2023_0034,Local convexity of the TAP free energy and AMP convergence for Z2-synchronization,AOS,2023,"University of California, Berkeley | Yale University",Blind Source Separation Techniques,15,91.974774,220157,130073,0.5908,97551,0.4431
AOS_2023_0035,Rate-optimal robust estimation of high-dimensional vector autoregressive models,AOS,2023,Shanghai Jiao Tong University | University of Chicago,Statistical Methods and Inference,14,95.729906,237969,118405,0.4976,117559,0.494
AOS_2023_0037,On robustness and local differential privacy,AOS,2023,University of Warwick,Privacy-Preserving Technologies in Data,13,89.894504,146950,51518,0.3506,60560,0.4121
AOS_2024_0038,Tensor factor model estimation by iterative projection,AOS,2024,Rutgers Sexual and Reproductive Health and Rights | University of Hong Kong | University of Notre Dame,Tensor decomposition and applications,13,95.359629,264457,36300,0.1373,107117,0.405
AOS_2024_0040,"E-statistics, group invariance and anytime-valid testing",AOS,2024,Centrum Wiskunde & Informatica | Eindhoven University of Technology | Leiden University | Mathematical Institute of the Slovak Academy of Sciences,Statistical Methods in Clinical Trials,11,97.719998,155766,45076,0.2894,43215,0.2774
AOS_2023_0041,Minimax rate of distribution estimation on unknown submanifolds under adversarial losses,AOS,2023,Hong Kong University of Science and Technology | University of Illinois Urbana-Champaign,Statistical Methods and Inference,10,93.778193,356876,44740,0.1254,182055,0.5101
AOS_2024_0042,Online change-point detection for matrix-valued time series with latent two-way factor structure,AOS,2024,Institute for Financial Research | Nanjing Audit University | Shandong University | Shanghai University of Finance and Economics | University of Pavia,Cardiovascular Health and Disease Prevention,10,94.938954,124555,24736,0.1986,36862,0.2959
AOS_2024_0043,On the approximation accuracy of Gaussian variational inference,AOS,2024,Massachusetts Institute of Technology,Gaussian Processes and Bayesian Inference,10,93.695082,158775,66787,0.4206,78687,0.4956
AOS_2024_0045,Inference for heteroskedastic PCA with missing data,AOS,2024,Data & Society Research Institute | Massachusetts Institute of Technology | Princeton University | University of Pennsylvania,Random Matrices and Applications,9,96.813653,842576,84973,0.1008,579442,0.6877
AOS_2024_0046,Metric statistics: Exploration and inference for random objects with distance profiles,AOS,2024,"Rutgers Sexual and Reproductive Health and Rights | University of California, Davis | University of Southern California",Bayesian Methods and Mixture Models,8,91.446442,256876,33056,0.1287,87583,0.341
AOS_2024_0047,"Gromov–Wasserstein distances: Entropic regularization, duality and sample complexity",AOS,2024,Cornell University | Pennsylvania State University,Geometric Analysis and Curvature Flows,8,98.010599,187621,9571,0.051,81236,0.433
AOS_2024_0048,Learning Gaussian mixtures using the Wasserstein–Fisher–Rao gradient flow,AOS,2024,Columbia University | University of Wisconsin–Madison,Markov Chains and Monte Carlo Methods,8,96.108124,245524,22003,0.0896,124105,0.5055
AOS_2023_0049,Graphical models for nonstationary time series,AOS,2023,Cornell University | Texas A&M University,Metabolomics and Mass Spectrometry Studies,7,76.504181,282236,22418,0.0794,129583,0.4591
AOS_2023_0050,Breaking the winner’s curse in Mendelian randomization: Rerandomized inverse variance weighted estimator,AOS,2023,"The University of Texas MD Anderson Cancer Center | University of California, Berkeley | University of California, San Diego",Genetic Associations and Epidemiology,7,89.081107,95922,0,0.0,15289,0.1594
AOS_2024_0051,"Tensor-on-tensor regression: Riemannian optimization, over-parameterization, statistical-computational gap and their interplay",AOS,2024,Duke University | University of Chicago,Tensor decomposition and applications,7,89.66318199999999,250981,0,0.0,111523,0.4443
AOS_2025_0052,The generalization error of max-margin linear classifiers: Benign overfitting and high dimensional asymptotics in the overparametrized regime,AOS,2025,D. E. Shaw Research | Massachusetts Institute of Technology | Science North | Stanford University,Neural Networks and Applications,7,98.674515,424190,79523,0.1875,216140,0.5095
AOS_2023_0053,On the disjoint and sliding block maxima method for piecewise stationary time series,AOS,2023,Heinrich Heine University Düsseldorf | Mathematical Institute of the Slovak Academy of Sciences,Financial Risk and Volatility Modeling,6,83.839079,201576,92024,0.4565,67060,0.3327
AOS_2023_0054,A CLT for the LSS of large-dimensional sample covariance matrices with diverging spikes,AOS,2023,Northeast Normal University,Random Matrices and Applications,6,88.463337,205986,25872,0.1256,100802,0.4894
AOS_2023_0055,Efficient shape-constrained inference for the autocovariance sequence from a reversible Markov chain,AOS,2023,Pennsylvania State University,Markov Chains and Monte Carlo Methods,6,88.981645,190221,57424,0.3019,63459,0.3336
AOS_2024_0056,Consistent inference for diffusions from low frequency measurements,AOS,2024,Institute of Mathematical Statistics | University of Cambridge,NMR spectroscopy and applications,6,94.758731,138926,30995,0.2231,50325,0.3622
AOS_2024_0057,Change-point inference in high-dimensional regression models under temporal dependence,AOS,2024,University of Notre Dame | University of Warwick,Statistical Methods and Inference,6,95.053126,365335,239651,0.656,198756,0.544
AOS_2024_0058,The projected covariance measure for assumption-lean variable significance testing,AOS,2024,University of Cambridge | University of Copenhagen | Yonsei University,Advanced Statistical Methods and Models,6,95.553257,331568,114358,0.3449,155976,0.4704
AOS_2025_0059,Bayesian nonparametric inference in McKean–Vlasov models,AOS,2025,Imperial College London | Institute of Mathematical Statistics | University of Cambridge,Markov Chains and Monte Carlo Methods,6,99.056604,97065,36735,0.3785,29212,0.301
AOS_2025_0060,The numeraire e-variable and reverse information projection,AOS,2025,Carnegie Mellon University | London School of Economics and Political Science,Reservoir Engineering and Simulation Methods,6,96.799918,114373,36546,0.3195,40015,0.3499
AOS_2025_0061,Near-optimal inference in adaptive linear regression,AOS,2025,"Decision Systems (United States) | Google DeepMind (United Kingdom) | Microsoft Research (United Kingdom) | Rutgers Sexual and Reproductive Health and Rights | University of California, Berkeley",Advanced Bandit Algorithms Research,5,91.905751,231988,3543,0.0153,78142,0.3368
AOS_2023_0062,Uniform consistency in nonparametric mixture models,AOS,2023,Princeton University | University of Chicago,Bayesian Methods and Mixture Models,5,77.722077,221176,40106,0.1813,83413,0.3771
AOS_2023_0063,Noisy linear inverse problems under convex constraints: Exact risk asymptotics in high dimensions,AOS,2023,Rutgers Sexual and Reproductive Health and Rights,Statistical Methods and Inference,5,79.13084,232575,113841,0.4895,101153,0.4349
AOS_2023_0065,Estimation of mixed fractional stable processes using high-frequency data,AOS,2023,Delft University of Technology | University of Luxembourg,Control Systems and Identification,5,72.383318,184811,114925,0.6219,98569,0.5334
AOS_2024_0067,Maximum likelihood for high-noise group orbit estimation and single-particle cryo-EM,AOS,2024,University of Chicago | Yale University,Advanced Electron Microscopy Techniques and Applications,5,89.763178,397504,249934,0.6288,175218,0.4408
AOS_2024_0068,Convergence rates of oblique regression trees for flexible function libraries,AOS,2024,Princeton University,Machine Learning and Data Classification,5,86.417598,134846,54147,0.4015,47220,0.3502
AOS_2024_0069,How do noise tails impact on deep ReLU networks?,AOS,2024,Decision Sciences (United States) | Princeton University | University of Illinois Chicago,Neural Networks and Applications,5,87.48964099999999,309182,134132,0.4338,137327,0.4442
AOS_2024_0070,Asymptotic normality and optimality in nonsmooth stochastic approximation,AOS,2024,Cornell University | University of Washington,Matrix Theory and Algorithms,5,87.436338,161012,31823,0.1976,58501,0.3633
AOS_2024_0071,Exact minimax optimality of spectral methods in phase synchronization and orthogonal group synchronization,AOS,2024,University of Pennsylvania,Nonlinear Dynamics and Pattern Formation,5,83.038337,132865,71739,0.5399,58903,0.4433
AOS_2024_0072,Improved covariance estimation: Optimal robustness and sub-Gaussian guarantees under heavy tails,AOS,2024,Columbia University | Instituto Nacional de Matemática Pura e Aplicada,Advanced Statistical Methods and Models,5,93.645468,95428,46327,0.4855,32756,0.3433
AOS_2024_0073,Joint sequential detection and isolation for dependent data streams,AOS,2024,University of Illinois Urbana-Champaign,Distributed Sensor Networks and Detection Algorithms,5,85.864768,398000,221492,0.5565,334232,0.8398
AOS_2024_0074,Deep neural networks for nonparametric interaction models with diverging dimension,AOS,2024,Boston University | Princeton University | University of Florida,Neural Networks and Applications,5,87.942342,228328,14091,0.0617,138902,0.6083
AOS_2024_0075,Non-independent component analysis,AOS,2024,Pompeu Fabra University | Statistical Research (United States),Spectroscopy and Chemometric Analyses,5,75.55254500000001,231388,39431,0.1704,161258,0.6969
AOS_2023_0077,Minimax rates for conditional density estimation via empirical entropy,AOS,2023,Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | University of Toronto,Statistical Methods and Inference,4,80.230031,214497,85914,0.4005,41328,0.1927
AOS_2024_0078,Finding the optimal dynamic treatment regimes using smooth Fisher consistent surrogate loss,AOS,2024,Harvard University | Texas A&M University,Statistical Methods in Clinical Trials,4,90.709195,264124,21957,0.0831,42891,0.1624
AOS_2024_0079,One-step estimation of differentiable Hilbert-valued parameters,AOS,2024,University of Washington,Statistical Methods and Inference,4,91.691095,347288,123493,0.3556,147471,0.4246
AOS_2024_0080,Spectral statistics of sample block correlation matrices,AOS,2024,Hong Kong University of Science and Technology | Northeast Normal University | University of Hong Kong,Random Matrices and Applications,4,91.330964,390884,95225,0.2436,209614,0.5363
AOS_2024_0081,Dimension free ridge regression,AOS,2024,Stanford University,Sparse and Compressive Sensing Techniques,4,80.907739,353696,53075,0.1501,207055,0.5854
AOS_2025_0082,"A new central limit theorem for the augmented IPW estimator: Variance inflation, cross-fit covariance and beyond",AOS,2025,Harvard University,Statistical Methods and Inference,4,98.304509,555012,225736,0.4067,371061,0.6686
AOS_2023_0083,Coverage of credible intervals in Bayesian multivariate isotonic regression,AOS,2023,North Carolina State University,Statistical Methods and Inference,3,78.564762,265336,111906,0.4218,113148,0.4264
AOS_2024_0086,On posterior consistency of data assimilation with Gaussian process priors: The 2D-Navier–Stokes equations,AOS,2024,Institute of Mathematical Statistics | University of Cambridge,Reservoir Engineering and Simulation Methods,3,76.13978,74514,10932,0.1467,18822,0.2526
AOS_2024_0087,Estimating a density near an unknown manifold: A Bayesian nonparametric approach,AOS,2024,University of Oxford | University of Potsdam,Bayesian Methods and Mixture Models,3,80.863918,292285,115317,0.3945,213340,0.7299
AOS_2024_0088,Efficiency in local differential privacy,AOS,2024,,Privacy-Preserving Technologies in Data,3,81.687856,209618,63037,0.3007,93306,0.4451
AOS_2024_0090,Increasing dimension asymptotics for two-way crossed mixed effect models,AOS,2024,Australian National University | UNSW Sydney,Statistical Methods and Inference,3,89.147478,141012,26156,0.1855,59122,0.4193
AOS_2025_0092,A geometrical analysis of kernel ridge regression and its applications,AOS,2025,Centre de Recherche en Économie et Statistique | Centre for Research in Engineering Surface Technology | ENSAE Paris | ETH Zurich | Institut Polytechnique de Paris | École Supérieure des Sciences Économiques et Commerciales,Morphological variations and asymmetry,3,98.709754,722403,946,0.0013,333983,0.4623
AOS_2023_0093,Complexity analysis of Bayesian learning of high-dimensional DAG models and their equivalence classes,AOS,2023,Texas A&M University,Markov Chains and Monte Carlo Methods,2,72.067631,299126,107158,0.3582,97061,0.3245
AOS_2024_0094,Characterization of causal ancestral graphs for time series with latent confounders,AOS,2024,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),Bayesian Modeling and Causal Inference,2,73.28569499999999,326479,135461,0.4149,87491,0.268
AOS_2024_0096,Dimension-free mixing times of Gibbs samplers for Bayesian hierarchical models,AOS,2024,Bocconi University | Decision Sciences (United States) | Duke University,Markov Chains and Monte Carlo Methods,2,82.82869099999999,313215,198320,0.6332,206768,0.6601
AOS_2024_0097,MARS via LASSO,AOS,2024,"Google (United States) | University of California, Berkeley",Statistical Methods and Inference,2,82.826241,375560,225333,0.6,194019,0.5166
AOS_2024_0099,Higher-order coverage errors of batching methods via Edgeworth expansions on t-statistics,AOS,2024,Columbia University,Statistical Methods and Inference,2,74.097843,197870,64248,0.3247,82361,0.4162
AOS_2024_0100,A nonparametric doubly robust test for a continuous treatment effect,AOS,2024,University of Miami | University of Minnesota,Statistical Methods and Inference,2,83.482077,349962,177434,0.507,122880,0.3511
AOS_2024_0101,Debiased inverse propensity score weighting for estimation of average treatment effects with high-dimensional confounders,AOS,2024,Tsinghua University | University of Cambridge,Advanced Causal Inference Techniques,2,84.623369,325641,135535,0.4162,136711,0.4198
AOS_2024_0102,Optimal policy evaluation using kernel-based temporal difference methods,AOS,2024,Massachusetts Institute of Technology | New York University | Princeton University,Statistical Methods and Inference,2,84.62831200000001,231630,16954,0.0732,91105,0.3933
