paper_id,title,journal_short,publication_year,institution_names,primary_topic,cited_by_count,citation_percentile,exact_math_density,broad_math_density
AOS_2023_0001,Conformal prediction beyond exchangeability,AOS,2023,Carnegie Mellon University | Stanford University | University of Chicago,Statistical Methods and Inference,162,99.927454,0.0244,0.2966
AOS_2023_0002,Testing for outliers with conformal p-values,AOS,2023,"Stanford University | Technion – Israel Institute of Technology | University of California, Berkeley | University of Southern California",Advanced Statistical Process Monitoring,69,99.124297,0.3339,0.3331
AOS_2023_0003,Orthogonal statistical learning,AOS,2023,Massachusetts Institute of Technology | Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | Stanford University,Statistical Methods and Inference,55,79.640501,0.3255,0.434
AOS_2023_0004,Bridging factor and sparse models,AOS,2023,"Princeton University | University of California, Davis | University of Illinois Urbana-Champaign",Spatial and Panel Data Analysis,44,99.197567,0.3349,0.4228
AOS_2023_0006,The Lasso with general Gaussian designs with applications to hypothesis testing,AOS,2023,"Stanford University | University of California, Berkeley | University of Pennsylvania",Statistical Methods and Inference,29,98.543891,0.2732,0.4525
AOS_2023_0007,Inference for low-rank models,AOS,2023,Brandeis University | Massachusetts Institute of Technology | Rutgers Sexual and Reproductive Health and Rights | University of Chicago,Sparse and Compressive Sensing Techniques,24,95.53171,0.0725,0.3128
AOS_2023_0008,Single index Fréchet regression,AOS,2023,"University of California, Davis",Functional Brain Connectivity Studies,19,92.581762,0.0002,0.2103
AOS_2023_0009,Optimally tackling covariate shift in RKHS-based nonparametric regression,AOS,2023,"Massachusetts Institute of Technology | University of California, Berkeley | University of Chicago",Statistical Methods and Inference,17,97.158708,0.1874,0.4689
AOS_2023_0010,Differentially private inference via noisy optimization,AOS,2023,Columbia University | Institute of Mathematical Statistics | University of Cambridge,Statistical Methods and Inference,15,94.522684,0.368,0.4271
AOS_2023_0011,Universality of regularized regression estimators in high dimensions,AOS,2023,Rutgers Sexual and Reproductive Health and Rights | University of Chicago,Statistical Methods and Inference,15,96.269043,0.5434,0.4899
AOS_2025_0012,"A statistical framework of watermarks for large language models: Pivot, detection efficiency and optimal rules",AOS,2025,California University of Pennsylvania,Topic Modeling,15,99.518252,0.3142,0.3176
AOS_2024_0013,Rank and factor loadings estimation in time series tensor factor model by pre-averaging,AOS,2024,London School of Economics and Political Science,Tensor decomposition and applications,13,95.104895,0.0647,0.5536
AOS_2024_0014,Skewed Bernstein–von Mises theorem and skew-modal approximations,AOS,2024,Bocconi University | Decision Sciences (United States),Rough Sets and Fuzzy Logic,11,94.289534,0.3595,0.3597
AOS_2024_0015,Transfer learning for contextual multi-armed bandits,AOS,2024,University of Michigan–Ann Arbor | University of Pennsylvania,Advanced Bandit Algorithms Research,10,95.340994,0.0466,0.4563
AOS_2024_0016,Transfer learning for functional mean estimation: Phase transition and adaptive algorithms,AOS,2024,University of Pennsylvania,Domain Adaptation and Few-Shot Learning,10,93.560398,0.1162,0.262
AOS_2024_0017,Testing network correlation efficiently via counting trees,AOS,2024,Duke University | Georgia Institute of Technology | University of Pennsylvania | Yale University,Complex Network Analysis Techniques,10,91.665155,0.2353,0.406
AOS_2023_0018,Learning low-dimensional nonlinear structures from high-dimensional noisy data: An integral operator approach,AOS,2023,"Stanford University | University of California, Davis",Fractional Differential Equations Solutions,7,81.670955,0.2387,0.3151
AOS_2024_0019,Statistical-computational trade-offs in tensor PCA and related problems via communication complexity,AOS,2024,Columbia University | University of Wisconsin–Madison,Tensor decomposition and applications,7,88.982036,0.479,0.4861
AOS_2024_0021,Optimal parameter estimation for linear SPDEs from multiple measurements,AOS,2024,Aarhus University | Bielefeld University | Institute of Mathematical Statistics | University of Cambridge,Fault Detection and Control Systems,6,87.438821,0.4632,0.464
AOS_2024_0022,Sharp multiple testing boundary for sparse sequences,AOS,2024,"Institute of Mathematical Statistics | Laboratoire de Probabilités, Statistique et Modélisation | Sorbonne Université | University of Cambridge",Statistical Methods in Clinical Trials,5,93.848254,0.3953,0.3726
