paper_id,journal_short,openalex_work_id,journal,work_type,publication_year,publication_date,volume,issue,title,doi,cited_by_count,citation_percentile,keywords,keyword_count,openalex_topics,topic_count,primary_topic,primary_topic_count,author_count,author_names,author_ids,institution_names,num_institutions
AOS_2023_0001,AOS,https://openalex.org/W4380490520,The Annals of Statistics,article,2023,2023-04-01,51,2,Conformal prediction beyond exchangeability,https://doi.org/10.1214/23-aos2276,166,99.927487,Algorithm | Artificial intelligence | Computer science | Concept drift | Conformal map | Data mining | Data point | Data stream mining | Econometrics | Inference | Machine learning | Mathematics | Quantile | Robustness (evolution),14,Data Stream Mining Techniques | Gaussian Processes and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,4,Rina Foygel Barber | Emmanuel J. Candès | Aaditya Ramdas | Ryan J. Tibshirani,https://openalex.org/A5048658972 | https://openalex.org/A5072495084 | https://openalex.org/A5032389695 | https://openalex.org/A5076708141,Carnegie Mellon University | Stanford University | University of Chicago,3
AOS_2023_0002,AOS,https://openalex.org/W3156397721,The Annals of Statistics,article,2023,2023-02-01,51,1,Testing for outliers with conformal p-values,https://doi.org/10.1214/22-aos2244,70,99.13111599999999,Algorithm | Anomaly detection | Artificial intelligence | Computer science | Conformal map | Data mining | False discovery rate | Inference | Leverage (statistics) | Mathematical analysis | Mathematics | Nonparametric statistics | Outlier | Statistical hypothesis testing | Statistics,15,Advanced Statistical Process Monitoring | Adversarial Robustness in Machine Learning | Anomaly Detection Techniques and Applications,3,Advanced Statistical Process Monitoring,1,5,Stephen Bates | Emmanuel J. Candès | Lihua Lei | Yaniv Romano | Matteo Sesia,https://openalex.org/A5045046961 | https://openalex.org/A5072495084 | https://openalex.org/A5032933169 | https://openalex.org/A5114803503 | https://openalex.org/A5009169058,"Stanford University | Technion – Israel Institute of Technology | University of California, Berkeley | University of Southern California",4
AOS_2023_0003,AOS,https://openalex.org/W2914527946,The Annals of Statistics,preprint,2023,2023-06-01,51,3,Orthogonal statistical learning,https://doi.org/10.1214/23-aos2258,55,79.640501,Algorithm | Computer science | Econometrics | Empirical risk minimization | Estimation theory | Estimator | Mathematical optimization | Mathematics | Metric (unit) | Nonparametric statistics | Nuisance parameter | Orthogonality | Population | Statistics,14,Advanced Causal Inference Techniques | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Dylan J. Foster | Vasilis Syrgkanis,https://openalex.org/A5075069827 | https://openalex.org/A5017741738,Massachusetts Institute of Technology | Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | Stanford University,4
AOS_2023_0004,AOS,https://openalex.org/W3129793980,The Annals of Statistics,article,2023,2023-08-01,51,4,Bridging factor and sparse models,https://doi.org/10.1214/23-aos2304,44,99.19756699999999,Algorithm | Artificial intelligence | Canonical correlation | Computer science | Covariance | Econometrics | Factor analysis | Interpretability | Machine learning | Mathematics | Model selection | Principal component analysis | Regression | Statistics,14,Housing Market and Economics | Spatial and Panel Data Analysis | Statistical Methods and Inference,3,Spatial and Panel Data Analysis,1,3,Jianqing Fan | Ricardo Masini | Marcelo C. Medeiros,https://openalex.org/A5100664286 | https://openalex.org/A5066109013 | https://openalex.org/A5058125982,"Princeton University | University of California, Davis | University of Illinois Urbana-Champaign",3
AOS_2023_0005,AOS,https://openalex.org/W4380490515,The Annals of Statistics,article,2023,2023-04-01,51,2,Deep nonparametric regression on approximate manifolds: Nonasymptotic error bounds with polynomial prefactors,https://doi.org/10.1214/23-aos2266,43,98.010199,Applied mathematics | Artificial intelligence | Artificial neural network | Combinatorics | Computer science | Curse of dimensionality | Dimension (graph theory) | Estimator | Mathematical optimization | Mathematics | Minimax | Nonparametric regression | Rate of convergence | Statistics,14,Sparse and Compressive Sensing Techniques | Statistical Methods and Inference | Topological and Geometric Data Analysis,3,Topological and Geometric Data Analysis,1,4,Yuling Jiao | Guohao Shen | Yuanyuan Lin | Jian Huang,https://openalex.org/A5080185313 | https://openalex.org/A5058851479 | https://openalex.org/A5100532380 | https://openalex.org/A5012067697,Chinese University of Hong Kong | Hong Kong Polytechnic University | Wuhan University,3
AOS_2023_0006,AOS,https://openalex.org/W4287704717,The Annals of Statistics,article,2023,2023-10-01,51,5,The Lasso with general Gaussian designs with applications to hypothesis testing,https://doi.org/10.1214/23-aos2327,29,98.54389099999999,Applied mathematics | Artificial intelligence | Asymptotic distribution | Computer science | Covariance | Covariate | Estimator | Gaussian | Lasso (programming language) | Mathematics | Regularization (linguistics) | Statistics,12,Bayesian Methods and Mixture Models | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,3,Michael Celentano | Andrea Montanari | Yuting Wei,https://openalex.org/A5050590699 | https://openalex.org/A5011999109 | https://openalex.org/A5005015806,"Stanford University | University of California, Berkeley | University of Pennsylvania",3
AOS_2023_0007,AOS,https://openalex.org/W4386035724,The Annals of Statistics,article,2023,2023-06-01,51,3,Total positivity in multivariate extremes,https://doi.org/10.1214/23-aos2272,27,97.756709,Applied mathematics | Combinatorics | Constraint (computer-aided design) | Estimator | Gaussian | Graph | Laplacian matrix | Mathematical optimization | Mathematics | Multivariate normal distribution | Multivariate statistics | Regular polygon | Statistics,13,Advanced Statistical Methods and Models | Bayesian Modeling and Causal Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,3,Frank Röttger | Sebastian Engelke | Piotr Zwiernik,https://openalex.org/A5090829202 | https://openalex.org/A5012269351 | https://openalex.org/A5009589660,University of Geneva | University of Toronto,2
AOS_2023_0008,AOS,https://openalex.org/W3181409504,The Annals of Statistics,article,2023,2023-06-01,51,3,Inference for low-rank models,https://doi.org/10.1214/23-aos2293,24,95.53171,Applied mathematics | Artificial intelligence | Combinatorics | Computer science | Context (archaeology) | Eigenvalues and eigenvectors | Inference | Low-rank approximation | Mathematical analysis | Mathematical optimization | Mathematics | Matrix (chemical analysis) | Matrix norm | Ordinary least squares | Rank (graph theory) | Statistics,16,Markov Chains and Monte Carlo Methods | Sparse and Compressive Sensing Techniques | Statistical Methods and Inference,3,Sparse and Compressive Sensing Techniques,1,4,Victor Chernozhukov | Christian Hansen | Yuan Liao | Yinchu Zhu,https://openalex.org/A5068383641 | https://openalex.org/A5086970490 | https://openalex.org/A5085415365 | https://openalex.org/A5023444661,Brandeis University | Massachusetts Institute of Technology | Rutgers Sexual and Reproductive Health and Rights | University of Chicago,4
AOS_2023_0009,AOS,https://openalex.org/W3191092502,The Annals of Statistics,article,2023,2023-08-01,51,4,Single index Fréchet regression,https://doi.org/10.1214/23-aos2307,19,92.581762,Bayesian multivariate linear regression | Euclidean distance | Identifiability | Linear regression | Mathematics | Multivariate statistics | Proper linear model | Regression analysis | Statistics | Univariate,10,Advanced Neuroimaging Techniques and Applications | Complex Network Analysis Techniques | Functional Brain Connectivity Studies,3,Functional Brain Connectivity Studies,1,2,Satarupa Bhattacharjee | Hans‐Georg Müller,https://openalex.org/A5103247006 | https://openalex.org/A5050634491,"University of California, Davis",1
AOS_2023_0010,AOS,https://openalex.org/W4380434451,The Annals of Statistics,article,2023,2023-04-01,51,2,Optimally tackling covariate shift in RKHS-based nonparametric regression,https://doi.org/10.1214/23-aos2268,18,97.03170300000001,Combinatorics | Covariate | Econometrics | Estimator | Hilbert space | Kernel (algebra) | Mathematical optimization | Mathematics | Minimax | Nonparametric regression | Nonparametric statistics | Reproducing kernel Hilbert space | Statistics,13,Bayesian Methods and Mixture Models | Statistical Methods and Inference,2,Statistical Methods and Inference,1,3,Cong Ma | Reese Pathak | Martin J. Wainwright,https://openalex.org/A5060187092 | https://openalex.org/A5003737567 | https://openalex.org/A5038379562,"Massachusetts Institute of Technology | University of California, Berkeley | University of Chicago",3
